,education,income,income_work,income_rent,income_capital,race,gender,weight,age,occupation,uf
11547,3.0,,,,,4,2,341.0,17.0,,13
11548,5.0,,,,,4,2,341.0,13.0,,13
11549,2.0,,,,,4,1,340.0,12.0,,13
11550,15.0,622.0,,,,4,2,340.0,55.0,,13
11551,11.0,,,,,4,1,341.0,57.0,,13
11552,15.0,,,,,4,1,341.0,25.0,,13
11553,4.0,400.0,400.0,,,4,1,341.0,46.0,5134.0,13
11554,0.0,742.0,600.0,,142.0,4,1,341.0,65.0,6129.0,13
11555,0.0,622.0,,,,4,2,340.0,62.0,,13
11556,2.0,,,,,4,1,341.0,10.0,,13
11557,0.0,417.0,,,102.0,4,2,340.0,64.0,,13
11558,0.0,400.0,400.0,,,4,1,340.0,61.0,6319.0,13
11559,5.0,300.0,300.0,,,4,1,340.0,38.0,9144.0,13
11560,0.0,,,,,4,1,341.0,10.0,,13
11561,3.0,300.0,,,300.0,4,2,341.0,30.0,,13
11562,5.0,,,,,4,1,341.0,22.0,,13
11563,5.0,,,,,4,1,340.0,13.0,,13
11564,4.0,,,,,4,2,340.0,12.0,,13
11565,0.0,,,,,4,1,341.0,5.0,,13
11566,0.0,,,,,4,1,341.0,2.0,,13
11567,10.0,622.0,622.0,,,4,1,340.0,25.0,7241.0,13
11568,10.0,724.0,622.0,,102.0,4,2,340.0,25.0,5211.0,13
11569,0.0,,,,,4,2,341.0,3.0,,13
11570,8.0,,,,,4,1,341.0,19.0,,13
11571,5.0,,,,,4,1,341.0,17.0,,13
11572,5.0,20.0,,,20.0,4,2,340.0,16.0,,13
11573,0.0,622.0,,,,4,2,341.0,90.0,,13
11574,0.0,622.0,,,,4,1,341.0,80.0,,13
11575,0.0,400.0,400.0,,,4,1,341.0,48.0,6129.0,13
11576,0.0,,,,,4,2,340.0,50.0,,13
11577,8.0,,,,,4,1,340.0,16.0,,13
11578,3.0,350.0,350.0,,,4,1,341.0,36.0,6129.0,13
11579,5.0,,,,,4,2,340.0,25.0,,13
11580,8.0,,,,,4,2,341.0,20.0,,13
11581,4.0,500.0,500.0,,,4,1,341.0,25.0,6319.0,13
11582,0.0,350.0,350.0,,,4,1,341.0,42.0,6129.0,13
11583,4.0,530.0,350.0,,180.0,4,2,340.0,31.0,6129.0,13
11584,2.0,,,,,4,1,340.0,10.0,,13
11585,0.0,,,,,4,1,341.0,8.0,,13
11586,0.0,,,,,4,1,341.0,5.0,,13
11587,0.0,350.0,350.0,,,4,1,341.0,62.0,6129.0,13
11588,0.0,622.0,,,,4,2,341.0,66.0,,13
11589,5.0,,,,,4,1,341.0,35.0,,13
11590,5.0,,,,,4,1,341.0,16.0,,13
11591,1.0,,,,,4,1,341.0,8.0,,13
11592,0.0,,,,,4,2,340.0,5.0,,13
11593,2.0,,,,,4,1,341.0,56.0,,13
11594,0.0,172.0,,,172.0,4,2,341.0,51.0,,13
11595,4.0,,,,,4,2,340.0,14.0,,13
11596,2.0,,,,,4,1,341.0,12.0,,13
11597,1.0,,,,,4,2,340.0,8.0,,13
11598,12.0,930.0,930.0,,,4,2,341.0,40.0,3312.0,13
11599,5.0,462.0,300.0,,162.0,4,2,341.0,24.0,6129.0,13
11600,0.0,,,,,4,2,341.0,6.0,,13
11601,0.0,,,,,4,1,340.0,3.0,,13
11602,0.0,400.0,400.0,,,4,1,341.0,36.0,6319.0,13
11603,0.0,350.0,350.0,,,4,1,340.0,55.0,6129.0,13
11604,0.0,622.0,,,,4,2,340.0,60.0,,13
11605,4.0,400.0,400.0,,,4,1,340.0,36.0,6319.0,13
11606,6.0,102.0,,,102.0,4,2,340.0,29.0,,13
11607,0.0,,,,,4,1,341.0,6.0,,13
11608,8.0,650.0,650.0,,,4,1,341.0,41.0,5211.0,13
11609,3.0,1244.0,,,622.0,4,1,340.0,58.0,,13
11610,0.0,70.0,,,70.0,4,2,341.0,53.0,6229.0,13
11611,11.0,,,,,4,1,341.0,24.0,,13
11612,9.0,212.0,,,212.0,4,2,340.0,21.0,,13
11613,0.0,,,,,4,2,340.0,2.0,,13
11614,8.0,,,,,4,1,341.0,26.0,6229.0,13
11615,5.0,,,,,4,2,341.0,20.0,,13
11616,7.0,,,,,4,2,341.0,42.0,,13
11617,0.0,350.0,350.0,,,4,1,341.0,57.0,6129.0,13
11618,9.0,600.0,600.0,,,16,1,340.0,17.0,5161.0,13
11619,8.0,450.0,450.0,,,4,1,341.0,31.0,7155.0,13
11620,10.0,166.0,,,166.0,4,2,341.0,29.0,,13
11621,5.0,,,,,4,2,340.0,13.0,,13
11622,3.0,,,,,4,2,340.0,11.0,,13
11623,0.0,,,,,4,1,341.0,5.0,,13
11624,12.0,595.0,595.0,,,4,2,341.0,38.0,4110.0,13
11625,7.0,622.0,622.0,,,4,1,340.0,37.0,5172.0,13
11626,9.0,,,,,4,2,341.0,19.0,,13
11627,3.0,,,,,4,1,340.0,9.0,,13
11628,8.0,1590.0,,,,4,2,340.0,68.0,,13
11629,0.0,,,,,4,1,340.0,2.0,,13
11630,0.0,1000.0,1000.0,,,4,1,341.0,43.0,7152.0,13
11631,4.0,724.0,622.0,,102.0,4,2,341.0,40.0,5142.0,13
11632,11.0,,,,,4,2,341.0,21.0,,13
11633,5.0,,,,,4,1,341.0,13.0,,13
11634,11.0,350.0,350.0,,,4,1,341.0,22.0,7823.0,13
11635,10.0,,,,,4,2,341.0,22.0,,13
11636,0.0,,,,,4,2,340.0,2.0,,13
11637,5.0,622.0,622.0,,,16,1,340.0,35.0,9113.0,13
11638,5.0,64.0,,,64.0,4,2,341.0,35.0,,13
11639,0.0,,,,,4,2,341.0,6.0,,13
11640,0.0,,,,,16,2,340.0,4.0,,13
11641,0.0,,,,,16,1,341.0,0.0,,13
11642,5.0,106.0,,,106.0,4,2,341.0,37.0,,13
11643,8.0,,,,,4,2,340.0,17.0,,13
11644,10.0,,,,,4,2,340.0,23.0,,13
11645,11.0,900.0,900.0,,,4,1,340.0,28.0,3312.0,13
11646,2.0,,,,,4,1,340.0,9.0,,13
11647,0.0,,,,,4,1,341.0,3.0,,13
11648,0.0,,,,,4,2,341.0,0.0,,13
11649,3.0,300.0,300.0,,,4,1,340.0,46.0,7155.0,13
11650,7.0,300.0,300.0,,,4,1,341.0,42.0,6329.0,13
11651,3.0,794.0,622.0,,172.0,4,2,340.0,41.0,5142.0,13
11652,6.0,,,,,4,1,340.0,17.0,,13
11653,6.0,,,,,16,1,341.0,15.0,,13
11654,5.0,,,,,4,2,341.0,12.0,,13
11655,11.0,200.0,200.0,,,4,1,340.0,23.0,3171.0,13
11656,11.0,,,,,16,2,340.0,21.0,,13
11657,15.0,622.0,,,,4,1,340.0,63.0,,13
11658,5.0,622.0,,,,4,2,340.0,60.0,6229.0,13
11659,11.0,1000.0,1000.0,,,4,1,341.0,33.0,7166.0,13
11660,9.0,,,,,4,2,341.0,18.0,,13
11661,6.0,,,,,4,2,340.0,13.0,6229.0,13
11662,1.0,,,,,16,1,340.0,9.0,,13
11663,5.0,850.0,850.0,,,16,1,340.0,33.0,8493.0,13
11664,4.0,375.0,300.0,,75.0,16,2,340.0,36.0,5162.0,13
11665,1.0,,,,,16,2,341.0,7.0,,13
11666,0.0,,,,,16,1,341.0,3.0,,13
11667,0.0,175.0,,,175.0,4,2,341.0,45.0,,13
11668,2.0,700.0,700.0,,,4,1,341.0,49.0,5174.0,13
11669,3.0,,,,,4,2,340.0,23.0,,13
11670,9.0,200.0,200.0,,,16,2,341.0,18.0,5162.0,13
11671,5.0,,,,,4,1,340.0,14.0,,13
11672,8.0,,,,,4,2,341.0,14.0,,13
11673,8.0,,,,,4,2,340.0,15.0,,13
11674,1.0,,,,,4,1,341.0,9.0,,13
11675,0.0,1244.0,,,622.0,4,1,340.0,82.0,,13
11676,0.0,1244.0,,,622.0,4,2,340.0,86.0,,13
11677,11.0,622.0,,,,4,1,340.0,60.0,,13
11678,7.0,500.0,500.0,,,4,1,341.0,19.0,7156.0,13
11679,3.0,,,,,4,2,340.0,19.0,,13
11680,7.0,,,,,4,2,341.0,15.0,,13
11681,7.0,,,,,4,1,341.0,15.0,,13
11682,0.0,204.0,,,204.0,4,2,340.0,49.0,6229.0,13
11683,3.0,300.0,300.0,,,4,1,341.0,57.0,6129.0,13
11684,11.0,400.0,400.0,,,4,1,340.0,33.0,5161.0,13
11685,6.0,500.0,500.0,,,4,2,341.0,30.0,5121.0,13
11686,9.0,300.0,300.0,,,4,2,341.0,28.0,5121.0,13
11687,4.0,3000.0,3000.0,,,16,1,340.0,33.0,5211.0,13
11688,5.0,,,,,4,2,341.0,38.0,,13
